"project","case_id","run_id","chapter_id","repeat_index","arm_id","blind_label","output","callback_hits","setting_violations","future_leaks","review_preference","review_notes"
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-1","chapter-006","1","baseline","sample-1","","","","","",""
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-1","chapter-006","1","recent-fill","sample-2","","","","","",""
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-1","chapter-006","1","four-layer","sample-3","","","","","",""
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-2","chapter-006","2","baseline","sample-1","","","","","",""
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-2","chapter-006","2","recent-fill","sample-2","","","","","",""
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-2","chapter-006","2","four-layer","sample-3","","","","","",""
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-3","chapter-006","3","baseline","sample-1","","","","","",""
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-3","chapter-006","3","recent-fill","sample-2","","","","","",""
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-3","chapter-006","3","four-layer","sample-3","","","","","",""
"纸鸢旧约","south-canal-vow","south-canal-vow-chapter-007-repeat-1","chapter-007","1","baseline","sample-1","","","","","",""
"纸鸢旧约","south-canal-vow","south-canal-vow-chapter-007-repeat-1","chapter-007","1","recent-fill","sample-2","","","","","",""
"纸鸢旧约","south-canal-vow","south-canal-vow-chapter-007-repeat-1","chapter-007","1","four-layer","sample-3","","","","","",""
"纸鸢旧约","south-canal-vow","south-canal-vow-chapter-007-repeat-2","chapter-007","2","baseline","sample-1","","","","","",""
"纸鸢旧约","south-canal-vow","south-canal-vow-chapter-007-repeat-2","chapter-007","2","recent-fill","sample-2","","","","","",""
"纸鸢旧约","south-canal-vow","south-canal-vow-chapter-007-repeat-2","chapter-007","2","four-layer","sample-3","","","","","",""
"纸鸢旧约","south-canal-vow","south-canal-vow-chapter-007-repeat-3","chapter-007","3","baseline","sample-1","","","","","",""
