"project","case_id","run_id","chapter_id","repeat_index","arm_id","blind_label","output","callback_hits","setting_violations","future_leaks","review_preference","review_notes"
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-1","chapter-006","1","baseline","sample-1","“我留着它，不是舍不得一张纸。”柳七低声说，“这些天人人看路单，看驿签，看水涨到哪里，我也跟着看，可我一摸到袖口，就记得还有一句话不是写在信上的，不能由旁人替我改。”

他把那只白尾纸鸢托在掌心，湿纸贴着指节，像一小片没有散尽的旧雪。

“我回河闸，是因为当年话断在这里。若你真不等了，也该由我站到你面前听你说；若你没有走，我也不能只凭一封误信，就把该回的地方绕过去。”","0","1","0","",""
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-1","chapter-006","1","recent-fill","sample-2","他低头把白尾理平，声音被闸水压得很低：“我留着它，不是因为它还像当初那样好看。它早湿了，折痕也快散了，可它在我袖里，我就记得自己还有一句话没还。”

他抬眼看向林秋，又看了看身后的闸门：“这几日到处都是账、船牌、驿签，人人都说该往前走，连误信也说你不等了。可我答应过你，白尾纸鸢一到河闸，我就回来。它没长脚，走不到这里来，我只能替它走。”

柳七把纸鸢递近了一些：“所以我回到河闸，不是为了问那封信真假，也不是为了给谁看我守信。我只是怕自己再迟一步，就把你当年那句话，连同我自己的应声，一起弄丢在路上了。”","1","0","0","",""
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-1","chapter-006","1","four-layer","sample-3","柳七低头抚平那截被雨水泡软的白尾，声音压得很稳：“我留着它，不是留一只旧纸鸢，是留你当年在河埠交到我手里的那句话。旁人催我换马、改路、赶水势，我都能应，唯独这件不能装作没听见。你说过，若它先到河闸，我就得跟着风回来。我回来，不为误信，也不为别的路数——是为这个约，也是为你。”","1","1","0","",""
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-2","chapter-006","2","baseline","sample-1","“我留着它，不是因为它还像从前那样好看。”柳七低头看着掌心那截白尾，纸边被水气泡软了，贴在指腹上，“这些天人人都催我往前走，信上也替你把话说尽了。可我一摸到它，就知道还有一句话没当面还给你。纸鸢若丢了，那句话便也成了别人传来的。”

他把纸鸢收回掌中，声音被闸下的水声压得很低：“我回河闸，是因为当年话从这里断的。水路到这里要分，闸门到时辰要开合，假的信、急的马、赶路的人，都能把我推到别处去，只有这里不替我躲。我不是回来问你还等不等，只是回来把我该说的，亲口说完。”","0","1","0","",""
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-2","chapter-006","2","recent-fill","sample-2","他低头把白尾抚平，指尖沾了一点泥水，才低声道：“我留着它，不是舍不得一团纸。那些天我手里记的都是别人的船牌、驿签和旧账，只有它还记着我自己说过的话。若把它丢了，我就能装作河埠那阵风没有吹过，也装作你那句话没有落在我袖里。”

闸门里的水声沉了一沉。

柳七抬眼看她：“我回河闸，不为船队，也不为赶路。你说白尾纸鸢先到这里，我就得跟着风回来。我把它带到这里，是怕旧约没有地方落脚。若问到底为了谁——林秋，是为了你。”","1","0","0","",""
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-2","chapter-006","2","four-layer","sample-3","柳七把纸鸢托在掌心，低声说：“我留着的不是这几根竹篾，也不是这层旧纸。它在我袖里，是因为当年你把它塞给我的时候，话也一并塞进来了。后来有人说你走了，堤灯下的信也像真的，雨驿里催马催船的人更像真的，可我只要摸到它，就知道还有一句话没被水冲走。”

他抬眼看向闸门下的林秋，声音被风吹得有些哑，却没有退：“你说过，只要白尾纸鸢先到河闸，我就得跟着风回来。它没有丢，我也不能装作没记得。所以我回到这里，不为船牌，不为路单，也不是为谁传来的信——是为你当年那句旧约。”","1","0","0","",""
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-3","chapter-006","3","baseline","sample-1","柳七捏着纸鸢的尾骨，指节被风吹得发白。

“我不丢它，不是因为它还好看。它早就湿透了，尾巴也折了，真要丢，哪一夜的雨都能替我丢干净。”

他抬眼看向林秋，声音低下去，却没有避开她。

“我留着它，是怕自己也信了那些信、那些路单、那些别人替我说好的去处。它在袖子里，我就还记得，有一句话没当面还给你，有一个人，我不能只凭传闻就当她已经走了。”

河闸里的水撞了一下闸板，沉闷地响。

柳七把纸鸢往掌心里收了收，又说：“我回来这里，是因为汀州的路我都算过，马也能换，船也能走，只有这道闸，水到这里总要停一停。人要是真错过了，也该在这里认清楚。”

他看着她，终于把后半句说完。

“不是为了谁叫我回来。是我自己不肯走。林秋，我怕把你弄丢了，又怕自己连回来认一句错的地方都没有。”","0","0","0","",""
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-3","chapter-006","3","recent-fill","sample-2","“我不是舍不得这一团纸。”柳七低声说，“我留着它，是怕自己在船牌、驿签和旧账里走得太远，把亲口应下的话也当成一笔糊账抹了。”

他把白尾纸鸢摊在掌心，湿纸贴着指腹，已经看不出当初的干净样子。

“我回河闸，也不是为那封信是真是假。是你当日在河埠说过，它若先到这里，我就得跟着风回来见你。如今它在我袖里一路到了河闸，我也该到。”","1","0","0","",""
"纸鸢旧约","rivergate-answer","rivergate-answer-chapter-006-repeat-3","chapter-006","3","four-layer","sample-3","柳七把纸鸢摊在掌心，白尾被雨水浸得发沉，却还固执地垂着。

“我不丢它，不是因为它好看，也不是因为路上少这一件旧物。”他声音被闸水声压低了些，“是你当年亲手塞给我的。你说，若有一日它先到河闸，我就得跟着风回来。后来信也好，账也好，催我走的人也好，都只是旁的声音；只有它在袖里，我才知道还有一句话没还。”

他抬眼看向林秋。

“我回到河闸，不是为了证明我没忘，也不是为了躲哪条路。我是按那句旧约回来的。”柳七顿了顿，把那只潮湿的纸鸢往前递了半寸，“为了你。”","1","0","0","",""
"纸鸢旧约","south-canal-vow","south-canal-vow-chapter-007-repeat-1","chapter-007","1","baseline","sample-1","柳七把袖口按紧了些，像怕那点湿气也要被人从账上刮走。

“失物要写来处，写拾得人，写何时何地，末了还要写一句无人认领，归仓。”他说得很慢，声音被船篷外的水声磨得有些低，“这一只写不得。”

南渠小吏抬头看他，笔尖悬在簿页上，墨珠将落未落。

柳七看着那一点墨，说：“你若写了，它就成了某日某渡口从水里捞起的一件纸物。等水退，仓房的人拆开来看，能晒便晒，不能晒便烧，账上也不过添一笔。到那时，谁曾把它放出去，谁曾等它回来，谁在河埠上说过一句不该忘的话，全都没有了。”

小吏皱眉道：“不登记，丢了算谁的？”

“算我的。”

“你捡的？”

柳七摇头。

“那就更该入簿。”

柳七没有立刻答。他听见篷外浪头拍在船帮上，一下一下，像有人在黑水里翻旧账。过了片刻，他才说：“我不是捡它的人。它到我袖里，不是因为没人要，是因为有人曾经把话交在这上头。纸鸢落水，是物件落水；我若把它写成失物，是把那句话也一并交给仓房。”

小吏看了看他，又看了看他袖口，似乎觉得这说法不合规矩，却一时找不出该从哪一条驳起。

柳七又道：“寻常失物有个等字。等主人来认，等水退归仓，等官印落下。可它不能等在那种地方。它若真只是纸，我早就丢了；偏它不是。它湿了、皱了、尾巴也快散了，可我认得它，不是认得纸，是认得当年留下来的那一口气。”

他说到这里，手指微微收了一下，纸鸢在袖里发出极轻的脆响。

“你们的簿子管的是东西有没有…","0","1","0","",""
