"project","run_id","chapter_id","repeat_index","arm_id","blind_label","output","callback_hits","setting_violations","future_leaks","review_preference","review_notes"
"纸鸢旧约","chapter-006-repeat-1","chapter-006","1","baseline","sample-1","柳七把纸鸢的白尾按在掌心，声音被闸下的水声磨得很低。

“我不是舍不得这点纸。”他说，“我留着它，是怕自己一忙起来，就把该记的也当成路单、驿签一样改了。那封信说你走了，我也差一点信了，可我一摸到它，就知道还有一句话没当面还给你。”

他抬眼看向林秋，又看了一眼身后的闸门。

“我回来这里，是因为别处都能绕。驿路能换，船道能改，连消息也能传错。只有河闸在这儿，水到了这儿，总要明明白白开一次、关一次。我也该在这里把话说清楚。”

纸鸢湿得发软，他却没有松手。

“林秋，我一直留着它，是为了记得我欠你的不是一封回信。我偏偏回到河闸，是因为当年没说完的话，不能让风替我说完。”","0","0","0","",""
"纸鸢旧约","chapter-006-repeat-1","chapter-006","1","recent-fill","sample-2","柳七低头看着纸鸢尾上沾着的泥水，声音被闸口的风吹得有些散，却没有躲开林秋的眼睛。

“我留着它，不是舍不得一张纸。”他说，“那日河埠上我应过你，白尾纸鸢一到河闸，我就回来。后来日日有人催我赶路、记账、换马，我若把它丢了，就等于承认那句话也能随手丢在路边。”

他把纸鸢往掌心里拢了拢，湿纸贴着指节，几乎不成形了。

“我回河闸，也不是为看水涨到哪里。”柳七说，“我怕它被风吹到这里时，我还在替旁人算那些走不完的路。更怕你站在这里，以为我当初只是随口一笑。”

他停了一下，才把最后一句说出来。

“林秋，我是跟着这只纸鸢回来的，也是跟着你那句话回来的。”","1","0","0","",""
"纸鸢旧约","chapter-006-repeat-1","chapter-006","1","four-layer","sample-3","柳七低头看着纸鸢湿软的尾，指腹压在那道旧折痕上，过了片刻才说：“我没把它当成能丢的东西。路上信可以误传，人也会被账目、雨水、马蹄声催着走错，可这只纸鸢在袖里，我一摸着，就知道还有一句话没还给你。”

他把纸鸢递到两人中间，声音被闸水压得很低：“你当年说，白尾若先到河闸，我就得回来。我留着它，不是舍不得一张纸，是怕我哪天真信了旁人的话，忘了该往哪儿走。河闸在这里，约也在这里，我回来不是为赶路，也不是为躲什么信。”

柳七抬眼看她：“我是回来见你。”","1","0","0","",""
"纸鸢旧约","chapter-006-repeat-2","chapter-006","2","baseline","sample-1","“我留着它，不是因为它还像从前。”柳七低声说，“纸糊的东西，淋过雨，压过袖口，早就不成样子了。可它在，我就知道有些话不是风一吹就散，也不是旁人递来一封信，说你走了，我就可以当作没有听见。”

他把纸鸢托在掌心，白尾被水汽沾得发沉。

“这些天我一直赶路，查驿签、问船牌、替人改路单，看起来像是在避开汀州。其实我只是不敢空着手回来。我怕我回来得太早，还是只会问你一句信上的事；也怕回来得太晚，连河闸都替我把话冲走了。”

柳七抬眼看她，声音被闸水压低，却没有再躲。

“所以我偏偏回到这里。因为当年话是留在这里的，误信也是从水路边传来的。我若要信你，不能在堤灯下信，也不能在雨驿里信，只能站到你面前来信。林秋，我留着这只纸鸢，是为了记得我欠你一个当面回答；我回河闸，也是为了把这个回答还给你。”","0","0","0","",""
"纸鸢旧约","chapter-006-repeat-2","chapter-006","2","recent-fill","sample-2","柳七低头看着掌心里那截白尾，雨水把纸骨泡得发软，他的声音也压得很低：“我不是舍不得这一只纸鸢。渡口也好，北仓也好，雨驿也好，人人都催我赶路，催我把手腾出来做别人的账。可它在袖里，我就知道自己还有一句话没还。那日你把它塞给我，我应得太快，后来才明白，轻的是纸，不该轻的是那句答应。”

他停了停，把纸鸢往前递了一点。

“我回河闸，不是因为信上说你走了没有，也不是因为这里的水路好认。你说过，白尾纸鸢若先到河闸，我就得跟着风回来。它这些天没飞起来，只跟着我湿了又干、干了又湿，可它一直把我往这里拖。林秋，我回来，是为了这只纸鸢，也是为了你。”","1","0","0","",""
"纸鸢旧约","chapter-006-repeat-2","chapter-006","2","four-layer","sample-3","他低头把纸鸢翘起的白尾抚平，指腹沾了一点冷水。

“我留着它，不是因为它还好看。”柳七说，“纸都潮了，竹篾也弯了，换作别的东西，早该丢在驿路上。可它不是旁人递来的旧物。你当年把它塞给我时，说的是这只纸鸢若先到河闸，我就得跟着风回来。”

闸门里水声沉沉，他的声音也低下去。

“后来有人说你走了，说你不等了，我也听见了。可那些话没有你亲口说，我不能拿来抵这一只纸鸢。它还在我袖里，我就还欠着那句答应。”

柳七抬眼看向她。

“所以我回河闸，不是为了核一条路，也不是为了追一封信。我只是按旧约回来见你。白尾纸鸢到了这里，我就该到这里。”","1","0","0","",""
"纸鸢旧约","chapter-006-repeat-3","chapter-006","3","baseline","sample-1","他把纸鸢的白尾在掌心慢慢抹平，低声道：“我留着它，不是舍不得旧物。那几日信也来了，路单也改了，人人都说该走，可我一摸到它，就想起还有一句话没有当面还给你。若把它丢了，我便可以装作什么都听信了，装作汀州的风、水、堤灯下那封信，全都替我作了主。”

他抬眼看向闸门，水声在两人之间沉沉压着。

“我偏回到这里，也是因为旁处说不清。船可以在驿口换，马可以在雨里换，连人的去向都能被一封误信写偏，只有这道闸还在原处。当年话是从这里断的，如今也该从这里接上。林秋，我回来不是为了问谁留不留我，是怕再迟一步，我连自己到底信过什么，都说不明白了。”","0","0","0","",""
"纸鸢旧约","chapter-006-repeat-3","chapter-006","3","recent-fill","sample-2","柳七低头看着纸鸢的白尾，被雨水浸得发软，却还没有断。

“我不是留着一只纸。”他说，“这些天路单湿了能重写，驿签错了能换，船牌丢了也能再查。可它若从我手里没了，河埠上那句答应，就像是我自己先丢的。”

他把纸鸢攥得更稳些，声音被闸水压低。

“我回来河闸，是因为我当时说过，白尾纸鸢一到河闸，我就回来。信上说你走了，旁人催我往前赶，可我总得先到这里看一眼。不是为了谁差我来，也不是为了哪家船队的账。”

柳七抬眼望着林秋。

“是为了你，也为了我还认得那句话。”","1","0","0","",""
"纸鸢旧约","chapter-006-repeat-3","chapter-006","3","four-layer","sample-3","“我不是舍不得一张纸。”柳七低声说，把纸鸢的白尾在掌心摊平，“那年你在河埠塞给我，说它若先到河闸，我就得跟着风回来。我这些天收着它，是怕自己一松手，就把这句话也松了。堤灯下那封信说你走了，雨驿里人人催我赶路，我都可以信一半、疑一半，唯独这纸鸢我不敢当没见过。”

他抬眼看向闸门阴影里的林秋，风从闸缝里穿出来，吹得纸尾贴上他腕骨。

“我回来不是为那封信，也不是为证明什么。河闸是它该到的地方，也是我答应过要回头的地方。它到了，我就该到；你还在这里，我就更不能不到。”","1","0","0","",""
"霜桥逆火","chapter-006-repeat-1","chapter-006","1","baseline","sample-1","孟回没有退，反而往后挪了半步。

这半步不大，却正好把迟雁压在桥栏阴影里。风从桥面横扫过来，吹动他肩上的旧披风，披风一掀一落，像把身后那点瘦影也一并盖住了。

他没有回头，只把短刃的刃口往下压了压，声音也压得低。

“校尉大人说错了。”

桥口几名巡夜司的人同时握紧刀柄。

孟回看着那校尉，道：“这趟脚是我接的。人没送过桥，账就没完。她在我身后，便与我有关。”

这话说出口时，他自己也听见了里面的生硬。

若是从前，他会先把自己择出去。脚夫只认路，只认银钱，只认哪条巷子能少惹麻烦。别人的命落在桥头，至多也只是风里多一声响。

可这一回，他把“有关”两个字说得清清楚楚。

像是在霜桥上，替自己从前那点只顾回身的性子，硬生生改了一笔。","0","0","0","",""
"霜桥逆火","chapter-006-repeat-1","chapter-006","1","recent-fill","sample-2","孟回没有退。

他把右脚斜斜踏进桥板缝里，脚跟抵住迟雁鞋尖，像是无声地告诉她别越过来。短刃不长，却横得很稳，刃口贴着风，身子也跟着往左移了半步，正好把迟雁和巡夜司的火光隔开。

校尉冷笑一声：“你一个脚夫，也敢拦巡夜司？”

孟回抬起眼。

若还是旧桥桥洞里那个他，这时该低头、该赔笑、该说自己只是搬炭的，最好连迟雁的名字都装作没听见。他从前把命看得很轻，把麻烦看得很重，凡事先想退路，先想着怎样让刀鞘不要碰到自己。

可迟雁就在他身后，呼吸被风压得很轻。

他不能再把她推进阴影里，然后独自装作什么都不知道。

孟回握紧短刃，说：“她站在我身后，这事就与我有关。”","0","0","0","",""
"霜桥逆火","chapter-006-repeat-1","chapter-006","1","four-layer","sample-3","孟回没有退。

他反手扣住迟雁的手腕，只往自己身后一带，便把她压进桥栏投下的窄影里。他站到那块最容易作响的桥板上，左脚抵住栏根，肩背挡住火把照来的光，短刃横在胸前，刃口不高，却正好截住巡夜司的人往前探的路。

迟雁被他挡得只剩半片衣角露在风里。

校尉沉下脸：“你听不懂话？”

孟回盯着他，声音不大，却没有再像从前那样先赔笑、先认错、先说自己只是个讨饭脚夫。

“她在我身后。”他说，“要搜，先从我身上过去。”

这句话出口时，他自己也听见了里面的生硬。若按他旧日的性子，他该把迟雁往桥栏下一藏，自己低头应声，拖一刻是一刻，等巡夜司的人看厌了、骂够了，再从缝里寻活路。

可霜桥太窄，桥口已被堵死，迟雁手里那些旧案也不是一句“不相干”就能藏过去的东西。

他不能再把她藏起来当作没有这回事。

所以他把人留在身后，把话说在明处。短刃在风里微微一颤，他的手却没有松。","0","0","0","",""
"霜桥逆火","chapter-006-repeat-2","chapter-006","2","baseline","sample-1","孟回没有退。

他反手一推，掌心按在迟雁手腕上，把她往桥栏阴影里压了半步。那一下不重，却正好堵住她要往前的路。他的肩也随之斜过来，短刃横在身前，像一根钉子，把桥面上窄窄一线空处钉死。

校尉的灯笼晃了一下，照见他半边脸。

“脚夫？”孟回开口，声音不高，“脚夫也有脚夫的账。”

他从前最会说的，就是这事与我无关。

在码头上，在暗巷里，在别人被拖走的时候，他能把眼睛垂下，把背弯得和挑担一样熟。他知道什么时候让路，什么时候闭嘴，知道一条命若想熬到天亮，先要学会把自己摘干净。

可现在迟雁就在他身后。

她的袖口擦过他的后腰，呼吸被风压得很轻。孟回没回头，只把握刀的手又稳了一寸。

“人是我带上桥的，”他说，“要拿她，先从我这里过。”","0","0","0","",""
"霜桥逆火","chapter-006-repeat-2","chapter-006","2","recent-fill","sample-2","他没有看迟雁，只把握刀的手往后压了压，另一只手横到身侧，掌心虚虚一拦，正好挡住她要上前的半步。

迟雁的衣角被风吹到他手背上，他也没有松开位置。那一下不重，却把她留在了他的影子里，连巡夜司火把照来的光，都先落在他的肩和刀上。

校尉冷声道：“脚夫，你听不懂？”

孟回抬起头。

若是从前，他该低头，说自己只是搬炭路过，说不认得身后的人，说大人明察。那些话他会说，也说得顺口，越顺口越能把自己从事里摘出去。

可他想起旧桥底下那句活着比逞强重要，又想起炉坊门前自己第一次没有退开的手。

于是他把短刃往前一横，声音不高，却没有躲闪。

“她在我身后，”孟回说，“这事就与我有关。”","0","0","0","",""
"霜桥逆火","chapter-006-repeat-2","chapter-006","2","four-layer","sample-3","孟回没有退。

他把脚往后一错，踩住那块会响的桥板边沿，另一只手反扣过去，按住迟雁要上前的袖口。她被他挡在桥栏内侧，半边身影都落进他肩背后的暗里，灰布卷贴着衣襟，连呼吸也被风声遮住。

从前他遇见这种阵仗，第一念只会是把人藏好，把话说软，把祸事让过去。脚夫的腰弯惯了，最懂得哪一句能免一顿打，哪一步能从官靴旁边蹭出条活路。可霜桥两头火把一合，退路就不再是退路了。他若仍像从前那样说“与我无关”，这四个字便会落到迟雁身上，变成巡夜司搜她的凭据。

于是他抬起眼，短刃横得更稳，只隔着桥上几步冷风。

“她在我身后。”孟回说，“校尉要搜，先搜我。”","0","0","0","",""
"霜桥逆火","chapter-006-repeat-3","chapter-006","3","baseline","sample-1","孟回没有退。

他反而往后挪了半步，不是让路，是把迟雁逼到桥栏与自己肩背之间。霜桥窄，风从两侧灌过来，他的背一横，便把她的身影挡去了大半，只剩披风一角在他肘后轻轻动了一下。

校尉的刀鞘又碰了一声桥栏：“听不懂人话？退开。”

孟回抬眼看他，手里的短刃仍低低横着，没有先发狠，也没有求饶。

“她在我身后。”他说，“这事就与我有关。”

这话出口时，连孟回自己也觉出陌生。

从前他最知道什么时候该低头，什么时候该把肩上的担子换到另一边，绕开灯火，绕开官刀，绕开所有会把人拖进泥里的事。脚夫活命靠的不是骨头硬，是眼快，是嘴软，是听见一句“与你无关”就立刻把自己摘出去。

可这一次，他没有摘。

他只把脚后跟抵住那块会响的桥板，身体微微侧着，仍旧让迟雁站在自己影子里。那不是逞强的位置，是他算过的窄处；巡夜司若要上前，就得先撞开他。","0","0","0","",""
"霜桥逆火","chapter-006-repeat-3","chapter-006","3","recent-fill","sample-2","孟回没有退。

他反倒往桥心横了一步，肩背挡住迟雁半边身子，左手向后一按，扣住她的袖口，把她留在桥栏和自己之间。迟雁的脚尖刚动，他的指节便收紧了一分，像无声地告诉她，此刻不许往前。

校尉皱眉：“你听不懂人话？”

孟回抬起眼，风把他的嗓音刮得很低，却没有散。

“她跟我走。”他说，“要拿人，先问我。”

这句话不像他从前会说的。旧桥避雪那夜，他只想着把火光避过去，把自己的名字也避过去；那时活着是退一步，是低头，是把迟雁推到阴影里。可霜桥上没有阴影可藏，退一步便是把她交出去。

所以他把短刃横得更稳些，把迟雁仍按在自己身后，没有再补一句求饶的话。","0","0","0","",""
